Time,Account,Operation,Coin,Change
2024-03-03 00:00:00,Spot,Deposit,USD,500.0
2024-03-03 16:00:00,Spot,Withdraw,USD,-100.0
2024-03-03 18:00:00,Spot,Withdraw,USD,-200.0
2024-03-03 22:00:00,Spot,Transaction Related,ADA,219.5906031
2024-03-03 22:00:00,Spot,Transaction Related,USD,-160.0
2024-03-03 22:00:00,Spot,Transaction Fee,ADA,-0.21981041
2024-03-04 10:00:00,Spot,Transaction Revenue,ADA,10.377873
2024-03-04 10:00:00,Spot,Transaction Sold,USD,-8.0
2024-03-04 10:00:00,Spot,Transaction Fee,ADA,-0.01038826
2024-03-05 01:00:00,Spot,Buy,ADA,36.94121046
2024-03-05 01:00:00,Spot,Sell,USD,-25.6
2024-03-05 01:00:00,Spot,Fee,ADA,-0.03697819
2024-03-05 10:00:00,Spot,Transaction Buy,SOL,0.04081781
2024-03-05 10:00:00,Spot,Transaction Spend,USD,-5.12
2024-03-05 10:00:00,Spot,Transaction Fee,SOL,-4.086e-05
2024-03-05 16:00:00,Spot,Transaction Fee,ETH,-2.9e-07
2024-03-05 16:00:00,Spot,Transaction Sold,USD,-1.024
2024-03-05 16:00:00,Spot,Transaction Revenue,ETH,0.00028787
2024-03-05 19:00:00,Spot,Withdraw,USD,-0.2048
2024-03-06 00:00:00,Spot,Buy,ETH,1.072e-05
2024-03-06 00:00:00,Spot,Sell,USD,-0.04096
2024-03-06 00:00:00,Spot,Fee,ETH,-1e-08
2024-03-06 03:00:00,Spot,Transaction Revenue,USD,39.19115535
2024-03-06 03:00:00,Spot,Transaction Sold,ADA,-53.38193731
2024-03-06 03:00:00,Spot,Transaction Fee,USD,-0.03923039
2024-03-06 04:00:00,Spot,Buy,BTC,0.00047416
2024-03-06 04:00:00,Spot,Sell,USD,-31.36111628
2024-03-06 04:00:00,Spot,Fee,BTC,-4.7e-07
2024-03-06 08:00:00,Spot,Withdraw,USD,-6.27222326
2024-03-06 10:00:00,Spot,Transaction Buy,USD,0.91121774
2024-03-06 10:00:00,Spot,Transaction Spend,ETH,-0.00023887
2024-03-06 10:00:00,Spot,Transaction Fee,USD,-0.00091213
2024-03-06 15:00:00,Spot,Fee,USD,-0.00011402
2024-03-06 15:00:00,Spot,Buy,USD,0.11390222
2024-03-06 15:00:00,Spot,Sell,ETH,-2.986e-05
2024-03-06 21:00:00,Spot,Binance Convert,SOL,0.00396144
2024-03-06 21:00:00,Spot,Binance Convert,USD,-0.51863515
2024-03-06 21:00:00,Spot,Transaction Fee,SOL,-3.97e-06
2024-03-06 23:00:00,Spot,Transaction Buy,ETH,0.00010855
2024-03-06 23:00:00,Spot,Transaction Spend,USD,-0.41490812
2024-03-06 23:00:00,Spot,Transaction Fee,ETH,-1.1e-07
2024-03-07 00:00:00,Spot,Deposit,USD,500.0
2024-03-07 02:00:00,Spot,Transaction Fee,ADA,-0.27018157
2024-03-07 02:00:00,Spot,Binance Convert,USD,-200.663853
2024-03-07 02:00:00,Spot,Binance Convert,ADA,269.91138972
2024-03-07 02:00:00,Spot,Binance Convert,USD,-200.663853
2024-03-07 02:00:00,Spot,Binance Convert,ADA,269.91138972
2024-03-07 02:00:00,Spot,Transaction Fee,ADA,-0.27018157
2024-03-07 04:00:00,Spot,Sell,ETH,-6.92e-06
2024-03-07 04:00:00,Spot,Fee,USD,-2.677e-05
2024-03-07 04:00:00,Spot,Sell,ETH,-6.92e-06
2024-03-07 04:00:00,Spot,Buy,USD,0.02674589
2024-03-07 04:00:00,Spot,Fee,USD,-2.677e-05
2024-03-07 04:00:00,Spot,Buy,USD,0.02674589
2024-03-07 04:00:00,Spot,Sell,ETH,-6.92e-06
2024-03-07 04:00:00,Spot,Sell,ETH,-6.92e-06
2024-03-07 04:00:00,Spot,Buy,USD,0.02674589
2024-03-07 04:00:00,Spot,Fee,USD,-2.677e-05
2024-03-07 04:00:00,Spot,Buy,USD,0.02674589
2024-03-07 04:00:00,Spot,Fee,USD,-2.677e-05
2024-03-07 08:00:00,Spot,Withdraw,USD,-20.08778201
2024-03-07 09:00:00,Spot,Transaction Related,SOL,-0.02238963
2024-03-07 09:00:00,Spot,Transaction Fee,USD,-0.00322008
2024-03-07 09:00:00,Spot,Transaction Related,USD,3.2168558
2024-03-07 15:00:00,Spot,Transaction Fee,BTC,-2e-08
2024-03-07 15:00:00,Spot,Transaction Spend,SOL,-0.01119481
2024-03-07 15:00:00,Spot,Transaction Buy,BTC,2.407e-05
2024-03-07 21:00:00,Spot,Transaction Related,ETH,0.00171942
2024-03-07 21:00:00,Spot,Transaction Related,BTC,-9.965e-05
2024-03-07 21:00:00,Spot,Transaction Fee,ETH,-1.72e-06
2024-03-08 02:00:00,Spot,Transaction Related,USD,108.79544807
2024-03-08 02:00:00,Spot,Transaction Related,ADA,-150.67010574
2024-03-08 02:00:00,Spot,Transaction Fee,USD,-0.10890435
2024-03-08 03:00:00,Spot,Transaction Buy,BTC,1.902e-05
2024-03-08 03:00:00,Spot,Transaction Spend,SOL,-0.00895585
2024-03-08 03:00:00,Spot,Transaction Fee,BTC,-2e-08
2024-03-08 08:00:00,Spot,Withdraw,USD,-38.47268638
2024-03-08 10:00:00,Spot,Binance Convert,USD,1.41999903
2024-03-08 10:00:00,Spot,Binance Convert,ETH,-0.00036603
2024-03-08 10:00:00,Spot,Transaction Fee,USD,-0.00142142
2024-03-08 12:00:00,Spot,Transaction Spend,ETH,-0.00073206
2024-03-08 12:00:00,Spot,Transaction Fee,ADA,-0.00393309
2024-03-08 12:00:00,Spot,Transaction Buy,ADA,3.92916168
2024-03-08 16:00:00,Spot,Binance Convert,BTC,-2.088e-05
2024-03-08 16:00:00,Spot,Binance Convert,SOL,0.0098143
2024-03-08 16:00:00,Spot,Binance Convert,BTC,-2.088e-05
2024-03-08 16:00:00,Spot,Transaction Fee,SOL,-9.82e-06
2024-03-08 16:00:00,Spot,Binance Convert,SOL,0.0098143
2024-03-08 16:00:00,Spot,Binance Convert,BTC,-2.088e-05
2024-03-08 16:00:00,Spot,Transaction Fee,SOL,-9.82e-06
2024-03-08 16:00:00,Spot,Binance Convert,SOL,0.0098143
2024-03-08 16:00:00,Spot,Transaction Fee,SOL,-9.82e-06
2024-03-08 16:00:00,Spot,Binance Convert,SOL,0.0098143
2024-03-08 16:00:00,Spot,Binance Convert,BTC,-2.088e-05
2024-03-08 16:00:00,Spot,Transaction Fee,SOL,-9.82e-06
2024-03-08 19:00:00,Spot,Transaction Sold,BTC,-6.682e-05
2024-03-08 19:00:00,Spot,Transaction Fee,USD,-0.00455179
2024-03-08 19:00:00,Spot,Transaction Revenue,USD,4.54724038
2024-03-08 20:00:00,Spot,Transaction Fee,ETH,-3.293e-05
2024-03-08 20:00:00,Spot,Binance Convert,ETH,0.03289896
2024-03-08 20:00:00,Spot,Binance Convert,USD,-127.88638796
2024-03-08 21:00:00,Spot,Withdraw,USD,-6.3943194
2024-03-09 02:00:00,Spot,Binance Convert,SOL,0.10112659
2024-03-09 02:00:00,Spot,Binance Convert,BTC,-0.00021381
2024-03-09 02:00:00,Spot,Transaction Fee,SOL,-0.00010123
2024-03-09 04:00:00,Spot,Buy,USD,2.91831126
2024-03-09 04:00:00,Spot,Sell,BTC,-4.276e-05
2024-03-09 04:00:00,Spot,Fee,USD,-0.00292123
2024-03-09 09:00:00,Spot,Binance Convert,ADA,30.70883847
2024-03-09 09:00:00,Spot,Binance Convert,USD,-22.79647108
2024-03-09 09:00:00,Spot,Transaction Fee,ADA,-0.03073958
2024-03-09 15:00:00,Spot,Transaction Spend,ETH,-0.01681551
2024-03-09 15:00:00,Spot,Transaction Buy,USD,65.602422
2024-03-09 15:00:00,Spot,Transaction Fee,USD,-0.06566809
2024-03-09 18:00:00,Spot,Transfer,BTC,-2.14e-06
